mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202002	102191	705409	8831250	0.51	8831250	7973438	8145000	
202002	102191	259277	8696250	0.47	8696250	8229375	8322750	
202002	102191	230369	9090000	0.47	8932500	8170312	8322750	
202002	102191	296251	8208750	0.41	8208750	8102812	8124000	
202002	102191	116099	8051250	0.47	7916250	8424375	8322750	
202002	102191	428227	7901250	0.5	7785000	8324062	8216250	
202002	102191	586567	7342500	0.57	7173750	8115938	7927500	
202002	102191	157327	9405000	0.58	9405000	7376250	7782000	
202002	102191	556181	7563750	0.48	7466250	8576250	8354250	
202002	102191	462899	7372500	0.38	7338750	8248125	8066250	
202002	102191	862633	8748750	0.43	8681250	8122500	8234250	
202002	102191	376837	8692500	0.57	8328750	7827188	7927500	
202002	102191	624479	8812500	0.44	8756250	8128125	8253750	
202002	102191	618997	9483750	0.57	9483750	7538438	7927500	
202002	102191	501623	8006250	0.43	7987500	8295938	8234250	
202002	102191	553309	8497500	0.43	8490000	8170312	8234250	
202002	102191	983429	7541250	0.46	7361250	8495625	8268750	
202002	102191	999331	8850000	0.49	8820000	8195625	8320500	
202002	102191	517393	9071250	0.48	9071250	8175000	8354250	
202002	102191	693743	9033750	0.5	8898750	8045625	8216250	
202002	102191	198851	8418750	0.44	8253750	8253750	8253750	
202002	102191	516223	10192500	0.47	10076250	7884375	8322750	
202002	102191	507607	9093750	0.63	8951250	7170000	7526250	
202002	102191	123817	9101250	0.46	9101250	8060625	8268750	
202002	102191	433337	7537500	0.56	7387500	8055938	7922250	
202002	102191	537157	8441250	0.39	8212500	8033438	8069250	
202002	102191	684379	7530000	0.46	7530000	8453438	8268750	
202002	102191	840727	9078750	0.4	9048750	7890938	8122500	
202002	102191	833857	8917500	0.51	8906250	7954688	8145000	
202002	102191	938023	9168750	0.47	9048750	8141250	8322750	
202002	102191	380059	8973750	0.39	8861250	7871250	8069250	
202002	102191	333337	7661250	0.45	7353750	8415938	8203500	
202002	102191	318137	8268750	0.47	8175000	8359688	8322750	
202002	102191	369191	8223750	0.48	8212500	8389688	8354250	
202002	102191	235289	9270000	0.46	9270000	8018438	8268750	
202002	102191	500111	8531250	0.41	8531250	8022188	8124000	
202002	102191	513017	10110000	0.48	10053750	7929375	8354250	
202002	102191	210193	8580000	0.5	8482500	8149688	8216250	
202002	102191	924841	8947500	0.46	8865000	8119688	8268750	
202002	102191	520837	8681250	0.44	8681250	8146875	8253750	
202002	102191	390281	8842500	0.36	8066250	7742812	7807500	
202002	102191	404461	8595000	0.43	8553750	8154375	8234250	
202002	102191	384173	9120000	0.55	9120000	7612500	7914000	
202002	102191	348989	7653750	0.49	7560000	8510625	8320500	
202002	102191	793627	8310000	0.57	8310000	7831875	7927500	
202002	102191	440723	8662500	0.46	8617500	8181562	8268750	
