mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202002	102191	641513	9255000	0.47	9255000	7614375	7942500	
202002	102191	737969	7095000	0.49	7095000	8269688	8034750	
202002	102191	838139	8141250	0.55	8141250	8025938	8049000	
202002	102191	544759	7601250	0.53	7601250	8203125	8082750	
202002	102191	617791	8542500	0.43	8542500	7862812	7998750	
202002	102191	577169	8092500	0.42	7946250	7950000	7949250	
202002	102191	414241	7653750	0.54	7432500	8242500	8080500	
202002	102191	415823	8711250	0.51	8662500	7821562	7989750	
202002	102191	992917	7218750	0.53	7200000	8303438	8082750	
202002	102191	433861	8156250	0.4	8148750	7830938	7894500	
202002	102191	730421	7950000	0.39	7931250	7916250	7919250	
202002	102191	586237	8943750	0.5	8906250	7878750	8084250	
202002	102191	123701	8351250	0.56	8351250	7980938	8055000	
202002	102191	221077	8370000	0.5	8370000	8012812	8084250	
202002	102191	476167	9318750	0.56	9236250	7759688	8055000	
202002	102191	794569	8962500	0.43	8962500	7757812	7998750	
202002	102191	380909	7856250	0.55	7856250	8097188	8049000	
202002	102191	631039	8576250	0.49	8576250	7899375	8034750	
202002	102191	862541	7800000	0.49	7800000	8093438	8034750	
202002	102191	260551	9371250	0.56	9371250	7725938	8055000	
202002	102191	219983	7747500	0.36	7747500	7679062	7692750	
202002	102191	217121	8583750	0.42	8583750	7790625	7949250	
202002	102191	976957	8943750	0.53	8846250	7891875	8082750	
202002	102191	432559	7286250	0.47	7091250	8155312	7942500	
202002	102191	628861	8092500	0.55	8021250	8055938	8049000	
202002	102191	944297	8718750	0.42	8666250	7770000	7949250	
202002	102191	236627	8887500	0.53	8752500	7915312	8082750	
202002	102191	546613	7987500	0.54	7931250	8117812	8080500	
202002	102191	493123	7455000	0.56	7425000	8212500	8055000	
202002	102191	618841	8628750	0.48	8523750	7783125	7931250	
202002	102191	289031	9502500	0.53	9292500	7780312	8082750	
202002	102191	627091	7665000	0.56	7665000	8152500	8055000	
202002	102191	990719	8520000	0.5	8370000	8012812	8084250	
202002	102191	461921	8163750	0.42	8062500	7920938	7949250	
202002	102191	216803	7631250	0.4	7631250	7960312	7894500	
202002	102191	615101	8186250	0.42	8062500	7920938	7949250	
202002	102191	482117	7728750	0.58	7728750	7609688	7633500	
202002	102191	358243	7773750	0.54	7687500	8178750	8080500	
202002	102191	981983	8298750	0.49	8197500	7994062	8034750	
202002	102191	712883	9007500	0.56	9007500	7816875	8055000	
202002	102191	213173	9397500	0.54	9397500	7751250	8080500	
202002	102191	400249	8820000	0.39	8760000	7709062	7919250	
202002	102191	953501	7961250	0.54	7905000	8124375	8080500	
202002	102191	624203	9427500	0.57	9427500	7496250	7882500	
202002	102191	656273	7743750	0.51	7578750	8092500	7989750	
202001	102191	904147	11550000	0.46	11550000	12019688	11925750	
202001	102191	976091	13286250	0.44	13158750	11526562	11853000	
202001	102191	910661	12712500	0.45	12682500	11697188	11894250	
202001	102191	242197	12660000	0.56	12476250	11064375	11346750	
202001	102191	847519	11490000	0.47	11490000	11990625	11890500	
202001	102191	226099	11621250	0.46	11583750	12011250	11925750	
202001	102191	699493	11261250	0.47	11205000	12061875	11890500	
202001	102191	275339	11025000	0.42	10916250	11931562	11728500	
202001	102191	751423	11621250	0.51	11621250	11618438	11619000	
202001	102191	844523	11426250	0.47	11366250	12021562	11890500	
202001	102191	577531	12033750	0.5	11876250	11659688	11703000	
202001	102191	955139	13016250	0.47	13016250	11609062	11890500	
202001	102191	929311	13057500	0.43	13057500	11535938	11840250	
202001	102191	923441	11812500	0.54	11812500	11480625	11547000	
202001	102191	372847	10773750	0.39	10616250	1.2e+07	11723250	
202001	102191	778187	12825000	0.4	12825000	11346562	11642250	
202001	102191	102913	13792500	0.46	13792500	11459062	11925750	
202001	102191	923179	13526250	0.61	13526250	10402500	11027250	
202001	102191	356929	12731250	0.44	12708750	11639062	11853000	
202001	102191	488617	12465000	0.48	12465000	11672812	11831250	
202001	102191	579869	13046250	0.44	13046250	11554688	11853000	
202001	102191	869299	12990000	0.43	12990000	11552812	11840250	
202001	102191	702469	11643750	0.38	11583750	11698125	11675250	
202001	102191	877367	12026250	0.38	11962500	11603438	11675250	
202001	102191	737281	12330000	0.47	12330000	11780625	11890500	
202001	102191	659473	10856250	0.32	10856250	11474062	11350500	
