mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202002	102191	212383	8550000	0.56	8332500	7295625	7503000	
202002	102191	641519	9183750	0.47	9183750	7245938	7633500	
202002	102191	524453	7751250	0.54	7518750	7653750	7626750	
202002	102191	104869	7777500	0.63	7616250	6950625	7083750	
202002	102191	160441	8081250	0.52	8081250	7607812	7702500	
202002	102191	875591	7777500	0.38	7710000	6849375	7021500	
202002	102191	645851	8276250	0.49	8276250	7475625	7635750	
202002	102191	324437	7533750	0.47	7402500	7691250	7633500	
202002	102191	411449	8527500	0.47	8527500	7410000	7633500	
202002	102191	582181	8148750	0.46	8137500	7431562	7572750	
202002	102191	672473	8017500	0.46	7740000	7530938	7572750	
202002	102191	509147	9210000	0.48	9195000	7282500	7665000	
202002	102191	895463	7830000	0.48	7830000	7623750	7665000	
202002	102191	713149	8947500	0.52	8947500	7391250	7702500	
202002	102191	802523	7923750	0.48	7706250	7654688	7665000	
202002	102191	522763	6708750	0.54	6648750	7871250	7626750	
202002	102191	572567	9232500	0.45	9202500	7173750	7579500	
202002	102191	106277	7170000	0.48	7132500	7798125	7665000	
202002	102191	318209	8310000	0.5	8096250	7485000	7607250	
202002	102191	167663	7758750	0.47	7740000	7606875	7633500	
202002	102191	980921	7987500	0.5	7773750	7565625	7607250	
202002	102191	996617	8362500	0.54	8340000	7448438	7626750	
202002	102191	297809	8418750	0.45	8280000	7404375	7579500	
202002	102191	632923	7597500	0.48	7548750	7694062	7665000	
202002	102191	141851	7950000	0.61	7833750	6945938	7123500	
202002	102191	404969	8107500	0.48	7893750	7607812	7665000	
202002	102191	129277	7293750	0.5	7293750	7685625	7607250	
202002	102191	151049	7743750	0.53	7698750	7536562	7569000	
202002	102191	340057	7455000	0.54	7455000	7669688	7626750	
202002	102191	221567	7927500	0.51	7803750	7505625	7565250	
202002	102191	119363	7826250	0.47	7826250	7585312	7633500	
202002	102191	577799	8580000	0.54	8197500	7484062	7626750	
202002	102191	231299	8640000	0.46	8640000	7305938	7572750	
202002	102191	458611	7616250	0.54	7616250	7629375	7626750	
202002	102191	518911	7278750	0.41	7110000	7310625	7270500	
202002	102191	879271	7837500	0.52	7837500	7668750	7702500	
202002	102191	773939	7620000	0.47	7620000	7636875	7633500	
202002	102191	439903	7500000	0.54	7500000	7658438	7626750	
202002	102191	495199	9345000	0.47	9345000	7205625	7633500	
202002	102191	384779	6903750	0.53	6866250	7744688	7569000	
202002	102191	185957	8276250	0.54	8276250	7464375	7626750	
202002	102191	835427	8940000	0.5	8891250	7286250	7607250	
202002	102191	534617	6791250	0.65	6656250	7065938	6984000	
202002	102191	634859	7897500	0.48	7803750	7630312	7665000	
202002	102191	208037	9386250	0.52	9386250	7281562	7702500	
202002	102191	782581	8261250	0.44	8118750	7287188	7453500	
202002	102191	175781	8096250	0.47	8032500	7533750	7633500	
202002	102191	878567	8107500	0.55	8047500	7374375	7509000	
202002	102191	276083	8441250	0.51	8310000	7379062	7565250	
202002	102191	983173	7155000	0.5	7132500	7725938	7607250	
202002	102191	578659	7458750	0.52	7458750	7763438	7702500	
202002	102191	972329	8407500	0.45	8407500	7372500	7579500	
202002	102191	435893	7196250	0.49	7177500	7750312	7635750	
202002	102191	450971	6566250	0.48	6566250	7939688	7665000	
202002	102191	308701	7241250	0.52	7241250	7817812	7702500	
202002	102191	197101	8418750	0.47	8418750	7437188	7633500	
202002	102191	646883	7751250	0.52	7751250	7690312	7702500	
202002	102191	770971	8021250	0.52	7972500	7635000	7702500	
202002	102191	185491	9018750	0.48	8917500	7351875	7665000	
202002	102191	923603	7158750	0.47	7042500	7781250	7633500	
202002	102191	423509	9288750	0.45	9288750	7152188	7579500	
202002	102191	898231	8508750	0.47	8508750	7414688	7633500	
202002	102191	631901	6963750	0.45	6963750	7733438	7579500	
202002	102191	444869	7841250	0.46	7668750	7548750	7572750	
202002	102191	464741	7695000	0.47	7642500	7631250	7633500	
202002	102191	331999	8670000	0.48	8523750	7450312	7665000	
202002	102191	440347	8208750	0.54	8208750	7481250	7626750	
202002	102191	104801	8955000	0.51	8812500	7253438	7565250	
202002	102191	459271	8096250	0.49	8096250	7520625	7635750	
202002	102191	552731	8381250	0.48	8152500	7543125	7665000	
202001	102191	191453	12266250	0.47	12146250	11875312	11929500	
202001	102191	984323	10537500	0.44	10327500	12008438	11672250	
202001	102191	372277	11617500	0.48	11617500	11988750	11914500	
202001	102191	221987	13012500	0.45	12761250	11530312	11776500	
202001	102191	711143	13473750	0.46	13361250	11497500	11870250	
202001	102191	457829	12536250	0.38	12536250	11511562	11716500	
202001	102191	884491	12971250	0.48	12971250	11650312	11914500	
202001	102191	627733	13065000	0.39	13023750	11358750	11691750	
202001	102191	671249	12288750	0.61	12090000	10564688	10869750	
202001	102191	683149	11872500	0.46	11872500	11869688	11870250	
202001	102191	903443	11752500	0.44	11632500	11682188	11672250	
202001	102191	204371	11276250	0.46	11111250	12060000	11870250	
202001	102191	198593	11452500	0.48	11448750	12030938	11914500	
202001	102191	243527	10421250	0.59	10421250	11435625	11232750	
202001	102191	663983	12378750	0.46	12307500	11760938	11870250	
202001	102191	840067	12202500	0.49	12202500	11736562	11829750	
202001	102191	478391	11598750	0.48	11595000	11994375	11914500	
202001	102191	387463	11096250	0.5	11040000	11993438	11802750	
202001	102191	790481	13136250	0.51	13136250	11340000	11699250	
202001	102191	660811	13181250	0.51	13113750	11345625	11699250	
202001	102191	459341	12161250	0.49	12060000	11772188	11829750	
202001	102191	391961	13923750	0.48	13747500	11456250	11914500	
202001	102191	680441	12116250	0.48	12082500	11872500	11914500	
202001	102191	980071	12217500	0.38	12217500	11591250	11716500	
202001	102191	640267	12697500	0.48	12697500	11718750	11914500	
202001	102191	573509	11422500	0.38	11422500	11790000	11716500	
202001	102191	991751	11681250	0.49	11681250	11866875	11829750	
202001	102191	570667	11505000	0.42	11407500	11726250	11662500	
202001	102191	123307	11287500	0.52	11287500	11823750	11716500	
202001	102191	718321	12813750	0.38	12813750	11442188	11716500	
202001	102191	212383	12720000	0.38	12510000	11518125	11716500	
202001	102191	641519	12030000	0.38	12030000	11638125	11716500	
202001	102191	524453	11032500	0.53	11032500	11831250	11671500	
202001	102191	104869	13121250	0.46	13121250	11557500	11870250	
202001	102191	160441	11711250	0.48	11625000	11986875	11914500	
202001	102191	875591	12273750	0.48	12273750	11824688	11914500	
202001	102191	645851	12112500	0.46	12112500	11809688	11870250	
202001	102191	324437	11831250	0.53	11737500	11655000	11671500	
202001	102191	411449	11482500	0.37	11261250	11632500	11558250	
202001	102191	582181	13020000	0.49	13020000	11532188	11829750	
202001	102191	672473	11433750	0.47	11433750	12053438	11929500	
202001	102191	509147	13991250	0.48	13841250	11432812	11914500	
202001	102191	895463	11910000	0.56	11883750	11310000	11424750	
202001	102191	713149	12645000	0.5	12645000	11592188	11802750	
202001	102191	802523	11040000	0.46	10946250	12101250	11870250	
202001	102191	522763	13331250	0.48	13331250	11560312	11914500	
202001	102191	572567	12506250	0.48	12506250	11766562	11914500	
202001	102191	106277	11557500	0.54	11557500	11594062	11586750	
202001	102191	318209	12082500	0.46	11981250	11842500	11870250	
202001	102191	167663	12495000	0.46	12375000	11744062	11870250	
202001	102191	980921	11707500	0.53	11707500	11662500	11671500	
202001	102191	996617	12577500	0.43	12566250	11501250	11714250	
202001	102191	297809	12791250	0.45	12791250	11522812	11776500	
202001	102191	632923	12315000	0.57	12315000	11143125	11377500	
202001	102191	141851	13481250	0.53	13207500	11287500	11671500	
202001	102191	404969	13357500	0.48	13218750	11588438	11914500	
202001	102191	129277	13211250	0.49	13192500	11489062	11829750	
202001	102191	151049	12206250	0.49	11981250	11791875	11829750	
202001	102191	340057	12123750	0.37	11977500	11453438	11558250	
202001	102191	221567	12438750	0.49	12300000	11712188	11829750	
202001	102191	119363	11137500	0.37	10882500	11727188	11558250	
202001	102191	577799	12596250	0.49	12596250	11638125	11829750	
202001	102191	231299	11580000	0.46	11486250	11966250	11870250	
202001	102191	458611	12536250	0.37	12513750	11319375	11558250	
202001	102191	518911	12176250	0.32	12007500	11045625	11238000	
202001	102191	879271	13402500	0.38	13185000	11349375	11716500	
