mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202001	102191	847519	12258750	0.13	12090000	12162188	12147750	
202001	102191	226099	12543750	0.11	12292500	12074062	12117750	
202001	102191	699493	11977500	0.19	11343750	11783438	11695500	
202001	102191	275339	11152500	0.16	10642500	12435000	12076500	
202001	102191	751423	12435000	0.16	12435000	11986875	12076500	
202001	102191	844523	11831250	0.08	11831250	11646562	11683500	
202001	102191	577531	13147500	0.1	13087500	11746875	12015000	
202001	102191	955139	12802500	0.14	12630000	11820000	11982000	
202001	102191	929311	12915000	0.17	12772500	11815312	12006750	
202001	102191	923441	12791250	0.15	11838750	12099375	12047250	
202001	102191	372847	10998750	0.22	10188750	11611875	11327250	
202001	102191	778187	12892500	0.2	11962500	11363438	11483250	
202001	102191	102913	13912500	0.2	13822500	10898438	11483250	
202001	102191	923179	13998750	0.18	13998750	11361562	11889000	
202001	102191	356929	13151250	0.15	13151250	11771250	12047250	
202001	102191	488617	12270000	0.2	11846250	11392500	11483250	
202001	102191	579869	13320000	0.26	11355000	10785938	10899750	
202001	102191	869299	13942500	0.11	13942500	11661562	12117750	
202001	102191	702469	11426250	0.09	11426250	11997188	11883000	
202001	102191	877367	12528750	0.13	12258750	12120000	12147750	
202001	102191	737281	12300000	0.26	10803750	10923750	10899750	
202001	102191	659473	10991250	0.17	10991250	12260625	12006750	
202001	102191	370399	14400000	0.17	14400000	11408438	12006750	
202001	102191	561529	12011250	0.16	12011250	12092812	12076500	
202001	102191	813199	12877500	0.22	11910000	11181562	11327250	
202001	102191	128969	12570000	0.14	12258750	11912812	11982000	
202001	102191	242377	12341250	0.16	12022500	12090000	12076500	
202001	102191	906823	13053750	0.21	12176250	11190938	11388000	
202001	102191	461603	11850000	0.16	11407500	12243750	12076500	
202001	102191	590963	13072500	0.26	11306250	10798125	10899750	
202001	102191	366217	13065000	0.12	12915000	11851875	12064500	
202001	102191	780631	11835000	0.2	11062500	11588438	11483250	
202001	102191	902179	11576250	0.19	10612500	11966250	11695500	
202001	102191	651029	12435000	0.18	12292500	11788125	11889000	
202001	102191	511691	13308750	0.12	13308750	11753438	12064500	
202001	102191	259387	11422500	0.25	10350000	11161875	10999500	
202001	102191	221071	13252500	0.19	12427500	11512500	11695500	
202001	102191	538301	13278750	0.18	13278750	11541562	11889000	
202001	102191	706913	12907500	0.15	12630000	11901562	12047250	
202001	102191	212999	12787500	0.18	12746250	11674688	11889000	
202001	102191	647321	11336250	0.17	10901250	12283125	12006750	
202001	102191	167623	12093750	0.12	11996250	12081562	12064500	
202001	102191	222163	13616250	0.17	13616250	11604375	12006750	
202001	102191	920687	12645000	0.16	12645000	11934375	12076500	
202001	102191	167213	12828750	0.13	12558750	12045000	12147750	
202001	102191	325673	12412500	0.13	12360000	12094688	12147750	
202001	102191	132233	12765000	0.1	12765000	11827500	12015000	
202001	102191	284227	12127500	0.2	10863750	11638125	11483250	
202001	102191	876181	10582500	0.17	9382500	12662812	12006750	
202001	102191	978233	12573750	0.13	12573750	12041250	12147750	
202001	102191	355457	12787500	0.11	12787500	11950312	12117750	
202001	102191	641513	12720000	0.11	12720000	11967188	12117750	
202001	102191	737969	13297500	0.18	12982500	11615625	11889000	
202001	102191	838139	11122500	0.08	10830000	11896875	11683500	
202001	102191	544759	12986250	0.2	12056250	11340000	11483250	
202001	102191	617791	12453750	0.3	11527500	10155938	10430250	
202001	102191	577169	12926250	0.16	12825000	11889375	12076500	
202001	102191	414241	12191250	0.16	12101250	12070312	12076500	
202001	102191	415823	11932500	0.16	11932500	12112500	12076500	
202001	102191	992917	11602500	0.17	11430000	12150938	12006750	
202001	102191	433861	11501250	0.14	11313750	12149062	11982000	
202001	102191	730421	12525000	0.13	12525000	12053438	12147750	
202001	102191	586237	12483750	0.2	12273750	11285625	11483250	
202001	102191	123701	12581250	0.18	12240000	11801250	11889000	
202001	102191	221077	12153750	0.19	12071250	11601562	11695500	
202001	102191	476167	11463750	0.16	11463750	12229688	12076500	
202001	102191	794569	11283750	0.15	11283750	12238125	12047250	
202001	102191	380909	12577500	0.12	12277500	12011250	12064500	
202001	102191	631039	11486250	0.11	11486250	12275625	12117750	
202001	102191	862541	12322500	0.16	12322500	12015000	12076500	
202001	102191	260551	13188750	0.18	13087500	11589375	11889000	
202001	102191	219983	11340000	0.17	11287500	12186562	12006750	
202001	102191	217121	13312500	0.18	12435000	11752500	11889000	
202001	102191	976957	12236250	0.22	11681250	11238750	11327250	
